"Ticker","Company Name","Sector","Shares Outstanding, Millions"
"D","Dominion Resources","Utilities","594.0"
"DAL","Delta Air Lines","Industrials","795.4"
"DD","DuPont","Materials","904.8"
"DE","Deere & Co.","Industrials","328.2"
"DFS","Discover Financial Services","Financials","437.4"
"DG","Dollar General","Consumer Discretionary","294.8"
"DGX","Quest Diagnostics","Health Care","144.0"
"DHI","D. R. Horton","Consumer Discretionary","366.7"
"DHR","Danaher Corp.","Industrials","683.5"
"DIS","The Walt Disney Co.","Consumer Discretionary","1600.0"
"DISCA","Discovery Com Class A","Consumer Discretionary","469.6"
"DISCK","Discovery Com Class C","Consumer Discretionary","469.6"
"DLPH","Delphi Automotive","Consumer Discretionary","286.5"
"DLTR","Dollar Tree","Consumer Discretionary","234.7"
"DNB","Dun & Bradstreet","Industrials","36.1"
"DO","Diamond Offshore Drilling","Energy","137.2"
"DOV","Dover Corp.","Industrials","156.5"
"DOW","Dow Chemical","Materials","1158.1"
"DPS","Dr Pepper Snapple Group","Consumer Staples","190.9"
"DRI","Darden Restaurants","Consumer Discretionary","128.1"
"DTE","DTE Energy Co.","Utilities","179.5"
"DUK","Duke Energy","Utilities","688.0"
"DVA","DaVita Inc.","Health Care","215.5"
"DVN","Devon Energy Corp.","Energy","411.0"
"EA","Electronic Arts","Information Technology","311.0"
"EBAY","eBay Inc.","Information Technology","1218.0"
"ECL","Ecolab Inc.","Materials","295.1"
"ED","Consolidated Edison","Utilities","292.9"
"EFX","Equifax Inc.","Financials","118.2"
"EIX","Edison Int'l","Utilities","325.8"
"EL","Estee Lauder Cos.","Consumer Staples","374.9"
"EMC","EMC Corp.","Information Technology","1925.0"
"EMN","Eastman Chemical","Materials","148.6"
"EMR","Emerson Electric Co","Industrials","663.3"
"ENDP","Endo International","Health Care","244.3"
"EOG","EOG Resources","Energy","549.1"
"EQIX","Equinix","Information Technology","57.0"
"EQR","Equity Residential","Financials","364.1"
"EQT","EQT Corporation","Energy","152.4"
"ES","Eversource Energy","Utilities","481.6"
"ESRX","Express Scripts","Health Care","675.7"
"ESS","Essex Property Trust Inc","Financials","65.0"
"ESV","Ensco plc","Energy","235.7"
"ETFC","E*Trade Financial Corp.","Financials","290.2"
"ETN","Eaton Corporation","Industrials","467.5"
"ETR","Entergy Corp.","Utilities","179.5"
"EW","Edwards Lifesciences","Health Care","107.4"
"EXC","Exelon Corp.","Utilities","861.6"
"EXPD","Expeditors Int'l","Industrials","189.1"
"EXPE","Expedia Inc.","Consumer Discretionary","129.1"
"F","Ford Motor","Consumer Discretionary","3967.8"
"FAST","Fastenal Co.","Industrials","290.1"
"FB","Facebook, Inc.","Information Technology","2814.0"
